10	1	2	3	4	5	6	8	9	10	11
0.47904	0.49829	0.50297	0.5444	0.55393	0.55118	0.53383	0.51662
0.00238	0.00173	0.00158	0.00037	0.00001	0	0	0
0.02369	0.02433	0.02448	0.0258	0.02634	0.02636	0.02638	0.02638
0.00549	0.00376	0.00337	0.00054	0	0	0	0
0.05043	0.04015	0.03759	0.01267	0.0007	0.00029	0	0
0.00516	0.00375	0.00341	0.00061	0	0	0	0
1	1.7401	2	10	68.05	100	400	1000
3637.59	3294.27	3227.57	2424.54	1687.35	1563.01	1170.92	955.46
3637.59	3448.09	3400.29	2889.06	2258.6	2126.76	1679.12	1423.44
17.51	17.51	17.51	17.51	17.51	17.51	17.51	17.51
17.51	17.74	17.798	18.369	18.723	18.746	18.771	18.772
0	1	1.0092	2.2249	8.4186	11.142	30.934	60.922
0	1	1.0147	2.4016	9.7956	13.113	37.875	76.986
0	2021.5	2021.5	2021.5	2021.5	2021.5	2021.5	2021.5
0	2066	2066	2066	2066	2066	2066	2066
0	0.6805	0.7432	1.2663	1.5849	1.6301	1.7594	1.8224
0	0.656	0.7335	1.2756	1.6324	1.6853	1.8402	1.9186
0	1375.7	1502.4	2559.7	3203.9	3295.3	3556.6	3684
0	1355.4	1515.5	2635.5	3372.5	3481.8	3802	3963.8
0.14243	0	0	0	0	0	0	0
0.04776	0	0	0	0	0	0	0
0.04011	0	0	0	0	0	0	0
0.17403	0	0	0	0	0	0	0
0.49456	0	0	0	0	0	0	0
0.00298	0	0	0	0	0	0	0
0.02228	0	0	0	0	0	0	0
0.00746	0	0	0	0	0	0	0
0.06028	0	0	0	0	0	0	0
0.0081	0	0	0	0	0	0	0
0.14243	0.14083	0.14038	0.1346	0.12516	0.12229	0.10727	0.09274
0.04776	0.05186	0.05295	0.06493	0.07821	0.08134	0.09663	0.11117
0.04011	0.03437	0.0329	0.01718	0.00322	0.00186	0.00013	0.00001
0.17403	0.17068	0.1699	0.16508	0.1734	0.17675	0.19257	0.20716
0.49456	0.51548	0.52073	0.57059	0.59265	0.59143	0.5779	0.56343
0.00298	0.00227	0.0021	0.00064	0.00003	0.00001	0	0
0.02228	0.02295	0.02312	0.02462	0.02541	0.02545	0.02549	0.02549
0.00746	0.00545	0.00497	0.00116	0.00002	0.00001	0	0
0.06028	0.04976	0.04707	0.0196	0.00187	0.00087	0.00002	0
0.0081	0.00634	0.00589	0.0016	0.00003	0.00001	0	0
1	1.7401	2	10	68.05	100	400	1000
3660.78	3317.85	3250.79	2447	1707.85	1583.01	1188.86	971.78
3660.78	3476.23	3429.43	2942.13	2358.05	2231.59	1782.6	1517.61
17.778	17.778	17.778	17.778	17.778	17.778	17.778	17.778
17.778	18.02	18.083	18.713	19.178	19.218	19.267	19.27
0	1	1.0094	2.2287	8.4527	11.193	31.143	61.425
0	1	1.0149	2.4162	10.021	13.462	39.203	79.92
0	2013.6	2013.6	2013.6	2013.6	2013.6	2013.6	2013.6
0	2058.7	2058.7	2058.7	2058.7	2058.7	2058.7	2058.7
0	0.68	0.743	1.2664	1.586	1.6314	1.7613	1.8249
0	0.655	0.7331	1.2765	1.6379	1.6921	1.8519	1.9331
0	1369.1	1496.1	2550.1	3193.4	3284.8	3546.6	3674.5
0	1348.4	1509.3	2628	3372	3483.6	3812.6	3979.8
0.13182	0	0	0	0	0	0	0
0.05015	0	0	0	0	0	0	0
0.03994	0	0	0	0	0	0	0
0.1566	0	0	0	0	0	0	0
0.50674	0	0	0	0	0	0	0
0.00354	0	0	0	0	0	0	0
0.02098	0	0	0	0	0	0	0
0.00945	0	0	0	0	0	0	0
0.06911	0	0	0	0	0	0	0
0.01167	0	0	0	0	0	0	0
0.13182	0.12977	0.12919	0.12188	0.11211	0.10968	0.09719	0.08502
0.05015	0.05468	0.05589	0.06965	0.08419	0.08703	0.10002	0.11222
0.03994	0.03463	0.03326	0.01893	0.0049	0.0031	0.0003	0.00003
0.1566	0.15225	0.15116	0.14196	0.14416	0.14674	0.16008	0.17239
0.50674	0.52879	0.53445	0.5906	0.62571	0.62661	0.61768	0.60568
0.00354	0.00279	0.00261	0.00097	0.00008	0.00004	0	0
0.02098	0.02166	0.02183	0.02346	0.0245	0.02457	0.02465	0.02465
0.00945	0.00722	0.00668	0.00205	0.00008	0.00003	0	0
0.06911	0.05855	0.0558	0.02712	0.00411	0.00216	0.00008	0
0.01167	0.00966	0.00912	0.00338	0.00015	0.00005	0	0
1	1.7401	2	10	68.05	100	400	1000
3676.16	3333.83	3266.55	2462.83	1722.72	1597.59	1202.12	983.95
3676.16	3495.1	3449.04	2979.02	2439.64	2321.84	1881.11	1609.02
18.015	18.015	18.015	18.015	18.015	18.015	18.015	18.015
18.015	18.266	18.331	19.006	19.578	19.64	19.728	19.736
0	1	1.0094	2.2317	8.4794	11.233	31.306	61.82
0	1	1.0151	2.4264	10.21	13.77	40.503	82.838
0	2005.3	2005.3	2005.3	2005.3	2005.3	2005.3	2005.3
0	2050.7	2050.7	2050.7	2050.7	2050.7	2050.7	2050.7
0	0.7428	1.2666	1.5868	1.6323	1.7629	1.8268	
0	0.6542	0.7329	1.2771	1.642	1.6974	1.8617	1.9457
0	1362.6	1489.6	2539.9	3182	3273.3	3535.1	3663.2
0	1341.6	1502.9	2619.1	3367.4	3480.9	3817.9	3990.2
0.12225	0	0	0	0	0	0	0
0.05209	0	0	0	0	0	0	0
0.03928	0	0	0	0	0	0	0
0.14215	0	0	0	0	0	0	0
0.5164	0	0	0	0	0	0	0
0.00404	0	0	0	0	0	0	0
0.01977	0	0	0	0	0	0	0
0.01138	0	0	0	0	0	0	0
0.07687	0	0	0	0	0	0	0
0.01577	0	0	0	0	0	0	0
0.12225	0.1198	0.1191	0.11028	0.09912	0.09687	0.08649	0.07642
0.05209	0.05696	0.0583	0.07365	0.09035	0.09318	0.10443	0.11457
0.03928	0.03429	0.03301	0.01982	0.00657	0.00453	0.0006	0.00009
0.14215	0.13709	0.13578	0.12325	0.11891	0.12036	0.13088	0.14116
0.5164	0.5392	0.54514	0.60565	0.65276	0.65635	0.65346	0.64387
0.00404	0.00328	0.00309	0.00133	0.00019	0.0001	0	0
0.01977	0.02046	0.02063	0.02232	0.02359	0.02371	0.02386	0.02387
0.01138	0.00899	0.0084	0.00313	0.00025	0.0001	0	0
0.07687	0.06633	0.06357	0.03449	0.00769	0.00455	0.00027	0.00002
0.01577	0.0136	0.013	0.00608	0.00058	0.00024	0	0
