8	1	2	3	4	5	9	10	11
2910.96	2709.56	2661.09	2411.37	2268.13	2093.62	1870.91	1712.53	1522.13	1424.19	1261.21	1114.47	1035.63	943.04
21.13	21.13	21.13	21.13	21.13	21.13	21.13	21.13	21.13	21.13	21.13	21.13	21.13	21.13
21.13	21.22	21.237	21.294	21.31	21.321	21.327	21.328	21.328	21.329	21.329	21.329	21.329	21.329
0	1	1.0106	1.3133	1.6471	2.2684	3.6295	5.291	8.7676	11.654	19.547	32.894	44.632	65.562
0	1	1.0124	1.3252	1.6669	2.3023	3.6973	5.4076	9.0108	12.025	20.353	34.663	47.429	70.509
0	1656.8	1656.8	1656.8	1656.8	1656.8	1656.8	1656.8	1656.8	1656.8	1656.8	1656.8	1656.8	1656.8
0	1671.8	1671.8	1671.8	1671.8	1671.8	1671.8	1671.8	1671.8	1671.8	1671.8	1671.8	1671.8	1671.8
0	0.6734	0.7403	1.0193	1.1409	1.2682	1.4088	1.498	1.5962	1.6434	1.7174	1.7796	1.8114	1.8471
0	0.6644	0.7364	1.0169	1.1398	1.2688	1.4117	1.5028	1.6034	1.652	1.7287	1.7938	1.8274	1.8656
0	1115.7	1226.6	1688.7	1890.2	2101.1	2334	2481.9	2644.6	2722.7	2845.4	2948.5	3001	3060.2
0	1110.7	1231.2	1700	1905.4	2121.2	2360.1	2512.3	2680.5	2761.7	2890	2998.9	3055	3118.8
0.10756													
0.12867													
0.004													
0.07755													
0.66912													
0.00034													
0.0116													
0.00117													
0.10756	0.10408	0.10328	0.09916	0.09655	0.09285	0.08684	0.08135	0.07289	0.06752	0.0567	0.04468	0.03738	0.02832
0.12867	0.13316	0.13414	0.1389	0.14169	0.14552	0.15158	0.15709	0.16556	0.17093	0.18175	0.19376	0.20107	0.21012
0.004	0.00263	0.00234	0.00116	0.0007	0.00034	0.0001	0.00004	0.00001	0	0	0	0	0
0.07755	0.0782	0.07855	0.08141	0.08379	0.08742	0.09344	0.09895	0.10743	0.1128	0.12362	0.13563	0.14293	0.15199
0.66912	0.67497	0.67583	0.67732	0.67628	0.67353	0.66796	0.66256	0.65412	0.64875	0.63793	0.62592	0.61862	0.60956
0.00034	0.00012	0.00009	0.00002	0	0	0	0	0	0	0	0	0	0
